Date,AAPL,JNJ,MSFT,TSLA,XOM
2020-01-02,72.40054321289062,122.6382064819336,152.15838623046875,28.68400001525879,53.30640411376953
2020-01-03,71.6966323852539,121.21835327148438,150.26377868652344,29.534000396728516,52.87784957885742
2020-01-06,72.2679214477539,121.06713104248047,150.65216064453125,30.1026668548584,53.283851623535156
2020-01-07,71.92804718017578,121.80644226074219,149.27854919433594,31.270666122436523,52.847782135009766
2020-01-08,73.08511352539062,121.7896728515625,151.65631103515625,32.80933380126953,52.050819396972656
2020-01-09,74.63749694824219,122.15092468261719,153.5509490966797,32.089332580566406,52.44929885864258
2020-01-10,74.80623626708984,121.87366485595703,152.8404083251953,31.876667022705078,51.9831428527832
2020-01-13,76.40440368652344,122.41136169433594,154.67828369140625,34.990665435791016,52.4793701171875
2020-01-14,75.37271118164062,123.1003189086914,153.58888244628906,35.861331939697266,52.028263092041016
2020-01-15,75.04969024658203,123.51200103759766,154.58352661132812,34.56666564941406,51.94554901123047
2020-01-16,75.98982238769531,124.51176452636719,157.41598510742188,34.232666015625,51.7425651550293
2020-01-17,76.83108520507812,125.32672119140625,158.29701232910156,34.03333282470703,51.54706954956055
2020-01-21,76.3104248046875,125.41079711914062,157.7286376953125,36.47999954223633,50.81025314331055
2020-01-22,76.58280181884766,124.55378723144531,156.97076416015625,37.97066879272461,50.517024993896484
2020-01-23,76.95162200927734,124.78904724121094,157.9370574951172,38.14666748046875,50.201255798339844
2020-01-24,76.7298583984375,124.61256408691406,156.3455047607422,37.654666900634766,49.862918853759766
2020-01-27,74.47356414794922,124.97386169433594,153.73094177246094,37.201332092285156,48.67499542236328
2020-01-28,76.58039093017578,125.60400390625,156.7434539794922,37.793331146240234,48.607322692871094
2020-01-29,78.18340301513672,126.47773742675781,159.1875,38.732666015625,48.201324462890625
2020-01-30,78.07007598876953,126.3265151977539,163.67779541015625,42.72066879272461,48.71257781982422
2020-01-31,74.60857391357422,125.07469940185547,161.2621307373047,43.371334075927734,46.705135345458984
2020-02-03,74.40365600585938,126.16688537597656,165.19354248046875,52.0,45.6600456237793
2020-02-04,76.86003112792969,127.36834716796875,170.63113403320312,59.137332916259766,45.088645935058594
2020-02-05,77.48674774169922,129.37628173828125,170.42271423339844,48.97999954223633,47.16376495361328
2020-02-06,78.39311981201172,128.98985290527344,173.95619201660156,49.930667877197266,46.52469253540039
2020-02-07,77.32752990722656,127.61199188232422,174.20254516601562,49.871334075927734,46.216426849365234
2020-02-10,77.69482421875,127.58673095703125,178.75912475585938,51.41866683959961,45.72833251953125
2020-02-11,77.2260513305664,127.69596862792969,174.72354125976562,51.62533187866211,46.16304397583008
2020-02-12,79.06002044677734,126.9398422241211,174.97935485839844,51.15266799926758,46.72740936279297
2020-02-13,78.49700927734375,126.09969329833984,174.03199768066406,53.599998474121094,46.46810531616211
2020-02-14,78.51634216308594,126.13329315185547,175.58558654785156,53.33533477783203,46.25456237792969
2020-02-18,77.07865905761719,125.30154418945312,177.36656188964844,57.22666549682617,45.66733169555664
2020-02-19,78.1949691772461,125.13350677490234,177.89849853515625,61.16133117675781,46.01814651489258
2020-02-20,77.39277648925781,124.65460205078125,175.18179321289062,59.96066665649414,45.65207290649414
2020-02-21,75.6409912109375,125.96525573730469,169.64378356933594,60.06666564941406,45.0953369140625
2020-02-24,72.04803466796875,123.36954498291016,162.3295135498047,55.58599853515625,42.98280715942383
2020-02-25,69.60757446289062,122.30416870117188,159.65084838867188,53.32733154296875,41.33549499511719
2020-02-26,70.71182250976562,121.48401641845703,161.6456298828125,51.91999816894531,40.42793273925781
2020-02-27,66.08953094482422,117.62846374511719,150.25624084472656,45.266666412353516,37.99509811401367
2020-02-28,66.05084991455078,113.70523834228516,153.8943634033203,44.53266525268555,39.23057556152344
2020-03-02,72.20024108886719,118.38943481445312,164.13438415527344,49.574668884277344,41.09143829345703
2020-03-03,69.90721893310547,114.64376831054688,156.2691650390625,49.70066833496094,39.123802185058594
2020-03-04,73.14983367919922,121.31490325927734,162.00656127929688,49.96666717529297,39.977970123291016
2020-03-05,70.7770767211914,120.07200622558594,157.94093322753906,48.30266571044922,38.21626663208008
2020-03-06,69.837158203125,120.08891296386719,153.47640991210938,46.89866638183594,36.37065124511719
2020-03-09,64.3135757446289,115.3624496459961,143.074951171875,40.53333282470703,31.924419403076172
2020-03-10,68.9455337524414,119.75917053222656,152.8589630126953,43.02199935913086,33.10652542114258
2020-03-11,66.55103302001953,111.43925476074219,145.93414306640625,42.28200149536133,32.015933990478516
2020-03-12,59.97879409790039,106.03641510009766,132.093994140625,37.369998931884766,28.355226516723633
2020-03-13,67.16476440429688,113.54458618164062,150.87367248535156,36.44133377075195,29.072114944458008
2020-03-16,58.52421188354492,107.49068450927734,128.6363525390625,29.67133331298828,26.3037052154541
2020-03-17,61.097530364990234,115.4892807006836,139.2278289794922,28.68000030517578,28.07305335998535
2020-03-18,59.601871490478516,114.11109161376953,133.36691284179688,24.08133316040039,25.25887680053711
2020-03-19,59.145198822021484,107.42305755615234,135.56118774414062,28.50933265686035,26.257944107055664
2020-03-20,55.390323638916016,101.3691635131836,130.4696502685547,28.50200080871582,24.969078063964844
2020-03-23,54.21360778808594,93.97085571289062,129.16830444335938,28.952667236328125,23.985261917114258
2020-03-24,59.65260314941406,100.768798828125,140.90914916992188,33.66666793823242,27.02822494506836
2020-03-25,59.3239860534668,100.95484161376953,139.56028747558594,35.95000076293945,28.43912124633789
2020-03-26,62.44580841064453,107.01719665527344,148.28994750976562,35.21066665649414,29.605966567993164
2020-03-27,59.86041259765625,104.13397979736328,142.20101928710938,34.29066848754883,28.179819107055664
2020-03-30,61.568702697753906,112.46233367919922,152.20352172851562,33.47533416748047,28.599279403686523
2020-03-31,61.443058013916016,110.8727798461914,149.8097686767578,34.93333435058594,28.957727432250977
2020-04-01,58.210105895996094,108.91117095947266,144.49032592773438,32.104000091552734,28.622156143188477
2020-04-02,59.18143081665039,112.58069610595703,147.48252868652344,30.29800033569336,30.810958862304688
2020-04-03,58.33090591430664,113.44315338134766,146.12411499023438,32.000667572021484,29.903392791748047
2020-04-06,63.4195556640625,118.16959381103516,156.99105834960938,34.41600036621094,30.86433982849121
2020-04-07,62.68500518798828,116.24178314208984,155.3002471923828,36.36333465576172,31.451580047607422
2020-04-08,64.28939819335938,121.12886047363281,156.85804748535156,36.589332580566406,33.44209289550781
2020-04-09,64.7533187866211,119.41246032714844,156.8675994873047,38.20000076293945,32.89298629760742
2020-04-13,66.02427673339844,118.17805480957031,157.2190399169922,43.39666748046875,32.61079406738281
2020-04-14,69.35871124267578,123.47100067138672,164.99876403808594,47.32600021362305,32.35912322998047
